payment_id,customer_id,amount,currency,decline_code,customer_tenure_months,past_retry_count,failed_at,subscription_plan
bf78a131-4f64-462a-ace5-f2ba3b72a927,CUST-13278,1885.14,INR,fraud_suspected,36,3,2026-08-16T15:07:38.637594+00:00,monthly
629f9309-c70b-45f7-ad58-e8498af89578,CUST-81482,687.62,INR,insufficient_funds,12,3,2026-08-22T19:07:38.637649+00:00,monthly
2bff2fa7-d8d8-4c1f-a3b1-2ee6a129df33,CUST-88907,2633.47,INR,do_not_honor,60,2,2026-07-31T23:07:38.637679+00:00,monthly
24a2c582-3358-4ddd-a310-cf72d0154112,CUST-68878,3037.06,INR,do_not_honor,1,0,2026-07-30T14:07:38.637703+00:00,monthly
bd46f22e-c662-4630-b6a2-fa3bd5a9f936,CUST-30379,347.21,INR,expired_card,28,1,2026-08-20T17:07:38.637729+00:00,monthly
dacd74bf-fbef-434d-838a-2fbdacc9f496,CUST-55082,564.86,INR,expired_card,34,0,2026-07-31T05:07:38.637750+00:00,monthly
2a86dd20-e9a1-4a19-b702-b4cbec8d2bfc,CUST-59615,1650.94,INR,ambiguous,11,2,2026-07-27T23:07:38.637769+00:00,monthly
a47c8511-de09-48a1-bdbc-d64629bb9fdc,CUST-85674,1183.27,INR,fraud_suspected,25,0,2026-08-21T22:07:38.637788+00:00,monthly
ec9a2f38-ccbc-40d5-a376-48d952975b79,CUST-20458,1481.22,INR,insufficient_funds,30,0,2026-08-11T11:07:38.637806+00:00,monthly
1efcc1a7-bbfe-4482-86b6-a76e6a75bbe9,CUST-31319,791.11,INR,fraud_suspected,48,1,2026-08-16T22:07:38.637823+00:00,monthly
67dfd164-ba15-43be-8a44-05b3ad5bc5f8,CUST-94939,2900.88,INR,ambiguous,10,1,2026-08-05T20:07:38.641007+00:00,monthly
592c2bd0-0794-4a3b-86ca-4aef746464d4,CUST-45382,2688.03,INR,expired_card,72,1,2026-08-02T09:07:38.641066+00:00,annual
4eb2d65d-83c5-481e-ae34-d6f80e00a89a,CUST-40021,1576.15,INR,network_error,5,1,2026-08-11T11:07:38.641092+00:00,monthly
9a66a8d4-6cbf-4d93-9947-2cdb2a228ca9,CUST-84341,3493.47,INR,ambiguous,41,1,2026-08-03T04:07:38.641114+00:00,monthly
0aab9d02-3184-4f0e-b3ca-369f4dd749a3,CUST-70142,2129.95,INR,ambiguous,19,2,2026-08-19T12:07:38.641134+00:00,monthly
65f0c391-68b1-4385-84bf-c2fd23a5f5cf,CUST-86622,787.41,INR,expired_card,55,3,2026-08-12T12:07:38.641152+00:00,annual
f843bea8-c076-4f64-b900-0b15591fd7a9,CUST-74686,1977.89,INR,insufficient_funds,12,0,2026-07-27T16:07:38.641173+00:00,monthly
451ea820-7e60-49f5-9920-a0276a17b66a,CUST-99192,730.74,INR,insufficient_funds,55,0,2026-08-11T07:07:38.641190+00:00,monthly
e88c317b-2b45-4fc3-be72-ff1e188f3b1b,CUST-42953,2898.82,INR,expired_card,71,0,2026-08-01T20:07:38.641208+00:00,monthly
224c9e9c-2ea4-496f-b73b-aef712cae1c4,CUST-44973,1444.87,INR,fraud_suspected,44,0,2026-08-14T06:07:38.641228+00:00,monthly
d8e6fda2-c934-4eca-9910-5f1bcc680a60,CUST-44522,1305.8,INR,insufficient_funds,65,1,2026-08-07T16:07:38.641246+00:00,annual
f73cdcf4-80d7-4802-baac-19eeeb1de799,CUST-93748,900.12,INR,insufficient_funds,65,1,2026-08-19T08:07:38.641263+00:00,annual
76e7590e-46d6-4250-8ea7-8163da419ed3,CUST-79514,3752.31,INR,expired_card,1,2,2026-08-08T19:07:38.641280+00:00,monthly
0f16b285-7c87-4a98-bcf5-8796cd6f7fc4,CUST-50306,1335.85,INR,expired_card,31,0,2026-08-16T01:07:38.641299+00:00,annual
28d71bc3-d7e7-4e98-a44a-9a718b2411ae,CUST-73699,1087.87,INR,insufficient_funds,9,1,2026-08-18T22:07:38.641317+00:00,monthly
fa33dc58-4d61-4dca-b9af-e70347184a4a,CUST-44741,1151.84,INR,expired_card,68,3,2026-07-24T13:07:38.641334+00:00,annual
a5db1806-df54-4662-bbd9-7c60624d99c2,CUST-36365,2236.02,INR,network_error,40,1,2026-08-01T23:07:38.641354+00:00,monthly
4ae1bb78-c171-45d8-a796-18fe2dec965e,CUST-69177,1972.99,INR,fraud_suspected,16,0,2026-08-16T17:07:38.641371+00:00,monthly
05eb1381-14e7-4d9c-a6ca-c0b87968de39,CUST-40161,2044.22,INR,do_not_honor,29,0,2026-08-20T21:07:38.641390+00:00,monthly
84f55ca8-aab3-43cf-9e87-e003bfac460e,CUST-14117,2072.14,INR,insufficient_funds,43,0,2026-08-07T12:07:38.641409+00:00,monthly
